name,address,last_service_date,service_organizations ,frequency
Пивнуха,Вавиловых 11 к 2,21.01.23,Нева,Ежемесячно
Зоомагазин,"Санкт-Петербург, улица Вавиловых, 7к4",22.02.23,Гранит,Ежеквартально
Пивнуха,"Санкт-Петербург, улица Вавиловых, 4к1",17.03.23,Нева,Ежемесячно
Вайлбериз,"Санкт-Петербург, Гражданский проспект, 83к1",12.03.23,Гранит,Ежеквартально
Шавуха,"Санкт-Петербург, проспект Науки, 4к1",11.03.23,Нева,Ежемесячно
Библтотека,"Санкт-Петербург, улица Вавиловых, 19",13.02.23,Гранит,Ежеквартально
Стройка,"Санкт-Петербург, Северный проспект, 44к3А",22.01.23,Нева,Ежемесячно
Помойка,"Санкт-Петербург, Северный проспект, 44к3А",23.02.23,Гранит,Ежеквартально
Бар,"Санкт-Петербург, Северный проспект, 75к1",18.03.23,Нева,Ежемесячно
НебАР,"Санкт-Петербург, улица Софьи Ковалевской, 11к2",13.03.23,Гранит,Ежеквартально
Больница,"Санкт-Петербург, улица Академика Байкова, 25к1",12.03.23,Нева,Ежемесячно
